sub_name,level,PMJ_start,PMJ_end,slice_s,slice_e
sub-5-13755_009,1,-5.485254859497464,-67.3540235199074,454,303
sub-5-13755_009,2,-69.79948722337343,-85.80586124746875,297,258
sub-5-13755_009,3,-96.9044529470558,-116.42622693381477,230,182
sub-5-13755_009,4,-126.92226537501958,-132.22064769537937,157,145
sub-11-14411_013,1,-9.782092351066442,-56.112973447949315,450,336
sub-11-14411_013,2,-58.16789656966673,-74.38634176062659,331,290
sub-11-14411_013,3,-75.55814165877418,-93.91634006308631,287,240
sub-11-14411_013,4,-105.5495089529273,-126.6268913138622,211,160
sub-8-14350_011,1,-11.956602457418601,-61.44403591988119,460,343
sub-8-14350_011,2,-64.0932514591008,-79.76791549919992,337,300
sub-8-14350_011,3,-83.38518835964835,-97.37869418175669,291,257
sub-8-14350_011,4,-100.89409548552484,-116.05940174222256,248,211
sub-8-14350_011,5,-119.676674602671,-135.81003818059756,202,162
sub-8-14350_011,6,-136.98183861518694,-153.97429163563916,159,117
sub-7-14348_003,1,-15.148610531036253,-55.007943140906015,437,342
sub-7-14348_003,2,-58.931096897291646,-72.67132459971897,333,301
sub-7-14348_003,3,-77.01922036062146,-90.5378032965647,291,259
sub-7-14348_003,4,-93.57781857556392,-106.49476079199357,252,222
sub-7-14348_003,5,-109.2289597198729,-121.33755497190995,215,184
sub-7-14348_003,6,-124.07175389978929,-137.89676509793665,177,144
sub-4-13747_010,1,-8.593198597431183,-65.7628875647568,454,323
sub-4-13747_010,2,-68.20833010537672,-86.86414196118112,317,276
sub-4-13747_010,3,-89.63316821035262,-103.08377917394414,270,239
sub-4-13747_010,4,-105.0116566194848,-121.79203610215629,235,195
sub-4-13747_010,5,-123.51622770141957,-138.30771590567122,191,158
sub-4-13747_010,6,-140.07380149693608,-157.71738860117398,154,117
sub-3-13746_012,1,-14.078534202087535,-59.72511714354344,437,334
sub-3-13746_012,2,-61.49128309359767,-76.86043148875295,330,293
sub-3-13746_012,3,-78.81343191504537,-96.2205324082211,288,245
sub-3-13746_012,4,-107.17426592824079,-110.68966669556714,218,209
sub-3-13746_012,5,-122.71331766685212,-126.94290180352486,179,169
sub-13-14493_008,1,-15.590731182599969,-69.7414705077302,447,324
sub-13-14493_008,2,-84.24429334237614,-90.71450488720536,290,275
sub-13-14493_008,3,-104.79297765659665,-110.07451432818137,240,227
sub-13-14493_008,4,-122.1831123518344,-127.46464902341911,196,183
sub-13-14493_008,5,-141.39111171084392,-163.65468971375128,150,99
sub-6-13757_004,1,-10.155600666999817,-55.059224999280396,443,335
sub-6-13757_004,2,-58.50760877639561,-76.10168915219066,327,283
sub-6-13757_004,3,-84.13460851015279,-88.92372862975539,264,252
sub-6-13757_004,4,-97.74704467637719,-103.19047641933241,232,219
sub-6-13757_004,5,-113.36315630770451,-127.33991664085848,194,159
sub-12-14492_007,1,-12.906887414719757,-69.4123365294258,451,321
sub-12-14492_007,2,-83.57791486402061,-103.0914134131191,289,242
sub-12-14492_007,3,-104.26321384770849,-122.09604831586017,239,196
sub-12-14492_007,4,-132.74417292193957,-153.78779331942658,169,123
sub-9-14406_001,1,-9.866924655623253,-60.45173391216305,473,356
sub-9-14406_001,2,-62.81244425364447,-84.07520965840455,351,301
sub-9-14406_001,3,-97.59437267620852,-120.45567835339114,268,214
sub-9-14406_001,4,-132.78584698242602,-139.00189516672725,186,172
sub-10-14407_000,1,-19.361107784729175,-60.121085168454975,451,352
sub-10-14407_000,2,-63.55167918492767,-78.57340088204593,344,307
sub-10-14407_000,3,-81.61339472385318,-94.80899310696215,300,267
sub-10-14407_000,4,-98.6301872981003,-111.96263073723877,258,226
sub-10-14407_000,5,-115.68189405532722,-128.58882313682045,217,185
sub-10-14407_000,6,-131.71362453414406,-148.5265553622918,177,135
sub-14-14693_002,1,-7.812003493309021,-54.920670366142936,486,374
sub-14-14693_002,2,-66.5705095347187,-73.94174431603892,346,329
sub-14-14693_002,3,-85.09912127024307,-102.99856323346606,302,258
sub-14-14693_002,4,-105.34216428145876,-119.30221360904883,252,218
sub-14-14693_002,5,-120.86461430771064,-137.33721358029638,214,176
sub-1-13696_006,1,-18.511512402382035,-67.99228784240607,443,325
sub-1-13696_006,2,-69.94528752364043,-87.38759204354673,320,278
sub-1-13696_006,3,-88.55939185228735,-105.66098492802276,275,232
sub-1-13696_006,4,-108.70098029887077,-124.03630975153875,225,186
sub-1-13696_006,5,-125.20810956027937,-141.44369864439415,183,143
sub-1-13696_006,6,-143.10803032842162,-162.22321281935518,139,95
sub-2-13697_005,1,-12.593974737046844,-60.782934788634044,421,313
sub-2-13697_005,2,-62.15850393911429,-78.07096452649525,310,275
sub-2-13697_005,3,-79.83713364302467,-97.48188626970283,271,230
sub-2-13697_005,4,-100.60668599809638,-115.46642324658187,222,185
sub-2-13697_005,5,-117.41942307682784,-131.27799065036268,180,149
sub-2-13697_005,6,-134.75959097665117,-152.75304395596473,142,104
